UserID,LastName,FisrtName,UserFullName,Roll1,Roll2,Roll3,Roll4,Roll5,Roll6,Amount1,Amount2,Amount3,Amount4,TOTAL
1,"nn","jj","jj nn",3,3,3,5,2,4,0.4671404958677694,0.0,2.0,0.0,2.50
2,"AutoBotLastName2","AutoBotFirstName2","AutoBotFirstName2 AutoBotLastName2",1,4,5,3,3,6,0,2.847673469387746,0.0,2.0,4.75
3,"AutoBotLastName3","AutoBotFirstName3","AutoBotFirstName3 AutoBotLastName3",2,3,3,1,5,1,3.2760000000000056,0,2.0,2.0,7.25
4,"AutoBotLastName4","AutoBotFirstName4","AutoBotFirstName4 AutoBotLastName4",4,4,3,1,5,4,0,0,2.0,4.0,6.00
5,"AutoBotLastName5","AutoBotFirstName5","AutoBotFirstName5 AutoBotLastName5",4,5,6,6,1,4,0,0,0.0,2.0,2.00
6,"AutoBotLastName6","AutoBotFirstName6","AutoBotFirstName6 AutoBotLastName6",6,4,5,2,6,2,0,0,0.0,0.0,0.00
7,"AutoBotLastName7","AutoBotFirstName7","AutoBotFirstName7 AutoBotLastName7",3,3,4,5,5,2,9.980958677685951,0,4.0,0.0,14.00
8,"AutoBotLastName8","AutoBotFirstName8","AutoBotFirstName8 AutoBotLastName8",2,6,2,3,5,3,0,0,0.0,0.0,0.00
9,"AutoBotLastName9","AutoBotFirstName9","AutoBotFirstName9 AutoBotLastName9",3,4,4,2,5,5,0,0,2.0,0.0,2.00
10,"AutoBotLastName10","AutoBotFirstName10","AutoBotFirstName10 AutoBotLastName10",5,2,4,3,2,3,9.099999999999998,9.516000000000002,4.0,2.0,24.50
11,"AutoBotLastName11","AutoBotFirstName11","AutoBotFirstName11 AutoBotLastName11",1,5,4,2,3,3,0,0,4.0,2.0,6.00
12,"AutoBotLastName12","AutoBotFirstName12","AutoBotFirstName12 AutoBotLastName12",2,5,4,6,5,3,0,0,0.0,2.0,2.00
13,"AutoBotLastName13","AutoBotFirstName13","AutoBotFirstName13 AutoBotLastName13",6,6,5,6,5,3,0,0,0.0,0.0,0.00
14,"AutoBotLastName14","AutoBotFirstName14","AutoBotFirstName14 AutoBotLastName14",6,1,6,1,5,3,0,0,0.0,0.0,0.00
15,"AutoBotLastName15","AutoBotFirstName15","AutoBotFirstName15 AutoBotLastName15",4,4,3,4,1,4,8.784979591836734,0,0.0,2.0,10.75
16,"AutoBotLastName16","AutoBotFirstName16","AutoBotFirstName16 AutoBotLastName16",4,3,2,3,3,4,0,0,2.0,0.0,2.00
17,"AutoBotLastName17","AutoBotFirstName17","AutoBotFirstName17 AutoBotLastName17",3,3,5,3,2,4,7.123140495867764,0,0.0,2.0,9.00
18,"AutoBotLastName18","AutoBotFirstName18","AutoBotFirstName18 AutoBotLastName18",5,5,1,4,5,3,0,7.696000000000003,2.0,4.0,13.75
19,"AutoBotLastName19","AutoBotFirstName19","AutoBotFirstName19 AutoBotLastName19",4,2,3,3,2,5,0,9.951,0.0,2.0,12.00
20,"AutoBotLastName20","AutoBotFirstName20","AutoBotFirstName20 AutoBotLastName20",1,2,4,4,2,5,0,0,2.0,0.0,2.00
21,"AutoBotLastName21","AutoBotFirstName21","AutoBotFirstName21 AutoBotLastName21",3,3,2,2,3,5,0,0,2.0,2.0,4.00
22,"AutoBotLastName22","AutoBotFirstName22","AutoBotFirstName22 AutoBotLastName22",2,5,1,2,3,4,0,9.675999999999998,0.0,2.0,11.75
23,"AutoBotLastName23","AutoBotFirstName23","AutoBotFirstName23 AutoBotLastName23",2,3,4,3,2,5,0,0,0.0,2.0,2.00
24,"AutoBotLastName24","AutoBotFirstName24","AutoBotFirstName24 AutoBotLastName24",3,5,2,3,5,6,0,0,0.0,0.0,0.00
25,"AutoBotLastName25","AutoBotFirstName25","AutoBotFirstName25 AutoBotLastName25",1,6,2,2,2,3,0,0,0.0,2.0,2.00
26,"AutoBotLastName26","AutoBotFirstName26","AutoBotFirstName26 AutoBotLastName26",2,5,3,5,2,5,6.0309999999999935,0,0.0,2.0,8.00
27,"AutoBotLastName27","AutoBotFirstName27","AutoBotFirstName27 AutoBotLastName27",4,5,3,4,4,3,0,0,2.0,0.0,2.00
28,"AutoBotLastName28","AutoBotFirstName28","AutoBotFirstName28 AutoBotLastName28",2,2,6,3,3,5,0,0,0.0,2.0,2.00
29,"AutoBotLastName29","AutoBotFirstName29","AutoBotFirstName29 AutoBotLastName29",3,6,2,2,3,1,0,0,0.0,2.0,2.00
30,"AutoBotLastName30","AutoBotFirstName30","AutoBotFirstName30 AutoBotLastName30",5,4,5,4,5,6,0,0,4.0,0.0,4.00
31,"AutoBotLastName31","AutoBotFirstName31","AutoBotFirstName31 AutoBotLastName31",5,5,5,2,3,2,0,0,2.0,2.0,4.00
32,"AutoBotLastName32","AutoBotFirstName32","AutoBotFirstName32 AutoBotLastName32",6,5,5,1,3,1,0,0,2.0,2.0,4.00
33,"AutoBotLastName33","AutoBotFirstName33","AutoBotFirstName33 AutoBotLastName33",4,2,3,6,5,1,0,0,2.0,2.0,4.00
34,"AutoBotLastName34","AutoBotFirstName34","AutoBotFirstName34 AutoBotLastName34",5,2,2,2,6,5,0,0,0.0,0.0,0.00
35,"AutoBotLastName35","AutoBotFirstName35","AutoBotFirstName35 AutoBotLastName35",5,5,1,3,6,2,0,1.8999999999999972,2.0,0.0,4.00
36,"AutoBotLastName36","AutoBotFirstName36","AutoBotFirstName36 AutoBotLastName36",3,4,2,5,3,2,2.351702479338832,0,2.0,2.0,6.25
37,"AutoBotLastName37","AutoBotFirstName37","AutoBotFirstName37 AutoBotLastName37",4,2,6,4,3,5,0,0,0.0,2.0,2.00
38,"AutoBotLastName38","AutoBotFirstName38","AutoBotFirstName38 AutoBotLastName38",5,3,3,4,5,3,0,0,0.0,2.0,2.00
39,"AutoBotLastName39","AutoBotFirstName39","AutoBotFirstName39 AutoBotLastName39",2,2,2,4,3,3,6.031000000000002,5.376000000000003,2.0,2.0,15.50
40,"AutoBotLastName40","AutoBotFirstName40","AutoBotFirstName40 AutoBotLastName40",1,5,5,4,4,6,6.179582766439911,0,2.0,0.0,8.25
