UserID,LastName,FisrtName,UserFullName,Roll1,Roll2,Roll3,Roll4,Roll5,Roll6,Amount1,Amount2,Amount3,Amount4,TOTAL
1,"GhostLastName96.98.49.59(1)","GhostFirstName96.98.49.59(1)","GhostFirstName96.98.49.59(1) GhostLastName96.98.49.59(1)",3,4,1,6,6,2,0.0,0.0,2.0,1.0,3.00
2,"AutoBotLastName2","AutoBotFirstName2","AutoBotFirstName2 AutoBotLastName2",4,2,2,2,3,1,0,0,2.0,2.0,4.00
3,"AutoBotLastName3","AutoBotFirstName3","AutoBotFirstName3 AutoBotLastName3",4,5,5,3,4,3,0,0,0.0,2.0,2.00
4,"AutoBotLastName4","AutoBotFirstName4","AutoBotFirstName4 AutoBotLastName4",2,6,5,2,5,6,6.913580246913575,0,2.0,0.0,9.00
5,"AutoBotLastName5","AutoBotFirstName5","AutoBotFirstName5 AutoBotLastName5",4,4,4,4,5,3,0,0,2.0,2.0,4.00
6,"AutoBotLastName6","AutoBotFirstName6","AutoBotFirstName6 AutoBotLastName6",3,5,5,4,3,2,6.042446280991736,7.500000000000004,0.0,0.0,13.50
7,"AutoBotLastName7","AutoBotFirstName7","AutoBotFirstName7 AutoBotLastName7",3,5,2,6,2,1,9.089057851239666,0,0.0,2.0,11.00
8,"AutoBotLastName8","AutoBotFirstName8","AutoBotFirstName8 AutoBotLastName8",5,3,1,2,4,3,0,8.975999999999999,0.0,4.0,13.00
9,"AutoBotLastName9","AutoBotFirstName9","AutoBotFirstName9 AutoBotLastName9",2,5,5,5,3,2,0,0,2.0,2.0,4.00
10,"AutoBotLastName10","AutoBotFirstName10","AutoBotFirstName10 AutoBotLastName10",5,4,5,4,3,5,0,1.5884897959183863,4.0,2.0,7.50
11,"AutoBotLastName11","AutoBotFirstName11","AutoBotFirstName11 AutoBotLastName11",1,4,5,3,3,2,5.245569160997727,9.856,2.0,0.0,17.00
12,"AutoBotLastName12","AutoBotFirstName12","AutoBotFirstName12 AutoBotLastName12",3,3,3,2,3,4,0,0,2.0,2.0,4.00
